id_orden,id_bulto,cantidad_por_bulto,producto,valor_unitario
5,5,21,Zapatos de Cuero,50
37,61,13,Carteras y Accesorios,36
37,62,13,Carteras y Accesorios,36
37,63,13,Carteras y Accesorios,36
37,64,13,Carteras y Accesorios,36
44,74,1,Armazon,"24,65"
44,74,1,Montura,366
44,74,5,Montura,208
44,74,10,Montura,208
51,94,1,Vainqueur Saddle,400
51,94,1,Griffon Saddle,400
51,94,1,Dd Saddle,420
54,97,48,Mate Acero Inoxidable,"4,49"
54,98,39,Mate Acero Inoxidable,"4,49"
54,98,18,Yerba Mate Organica,"3,54"
54,98,8,Yerba Mate Tradicional,"1,05"
54,99,22,Mate Acero Inoxidable,"4,49"
54,100,47,Yerba Mate Organica,"3,54"
54,101,47,Yerba Mate Organica,"3,54"
54,102,47,Yerba Mate Organica,"3,54"
54,103,47,Yerba Mate Organica,"3,54"
54,104,47,Yerba Mate Organica,"3,54"
54,105,47,Yerba Mate Organica,"3,54"
54,106,48,Yerba Mate Tradicional,"1,05"
54,107,48,Yerba Mate Tradicional,"1,05"
54,108,48,Yerba Mate Tradicional,"1,05"
54,109,48,Yerba Mate Tradicional,"1,05"
59,133,6,Shell Chinese Coin Black Color (Shell And 4 Coins Included),12
59,133,4,Dancing Cane,20
59,133,4,Boston Coin Box Brass 50 Cents,8
59,133,3,Boston Coin Box Brass 2 Euros,8
59,133,12,Slot Okito Coin Box Brass Half Dollar,"8,8"
59,133,5,Ltc Red,4
59,133,3,Ltc Blue,4
59,133,3,Silver Copper Brass Transposition,24
59,133,30,Chinese Coin Black Color,"3,6"
59,133,3,Chinatown One Dollar,16
59,133,3,Shell Chinese Coin Black Color One Dollar (Shell And 4 Coins Included),"12,8"
59,133,3,Expanded Shell Half Dollar (Tail),"13,6"
59,133,3,Expanded Shell Half Dollar Steel Back,"14,4"
59,133,3,Expanded Eisenhower Dollar Shell,20
59,133,3,Expanded Shell Eisenhower Dollar Tail,20
59,133,3,Expanded Shell English Penny,"13,6"
59,133,3,Tango Folding Coin Half Dollar,12
59,133,3,Bite Coin Half Dollar Traditional System With Extra Piece,"7,2"
59,133,3,Scotch And Soda Magnetic English Penny,"12,8"
59,133,15,Hopping Half (With Expanded Shells),26
59,133,5,"Copper And Silver Coin Half Dollar, English Penny",8
59,133,3,Slippery Steel Expanded Shell Half Dollar,"15,2"
