id_orden,id_provincia,provincia,origen_especifico,cp_origen_especifico,id_pais_destino,pais_destino,id_destino_especifico,destino_especifico,fecha,monto_operacion
37,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1129,47,Chile,656,Region Metropolitana de Santiago,30/10/2017,1872
44,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1135,113,Italia,1877,Perugia,26/10/2017,"3510,65"
106,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1086,74,Estados Unidos,4441,California,10/11/2017,"1835,3"
133,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1086,74,Estados Unidos,4441,California,17/11/2017,"1853,2"
135,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1086,74,Estados Unidos,4441,California,17/11/2017,"11450,02"
518,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1086,74,Estados Unidos,4441,California,6/12/2017,"7402,8"
520,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1086,74,Estados Unidos,4441,California,6/12/2017,1342
119,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1086,113,Italia,1891,Roma,14/11/2017,"2388,4"
918,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1086,74,Estados Unidos,4470,New Jersey,14/12/2017,"2871,25"
54,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1057,74,Estados Unidos,4473,New York,27/10/2017,"1761,41"
1096,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1414,16,Australia,132,New South Wales,19/12/2017,"7260,72"
59,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1102,72,España,1005,Barcelona [Barcelona],30/10/2017,"4571,88"
130,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1102,74,Estados Unidos,4441,California,16/11/2017,15000
1463,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1102,74,Estados Unidos,4441,California,5/1/2018,"12524,8"
959,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1102,74,Estados Unidos,4441,California,14/12/2017,"9984,4"
449,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1102,82,Francia,1133,Haute-Garonne,6/12/2017,"7343,14"
456,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1102,82,Francia,1133,Haute-Garonne,6/12/2017,"6317,6"
1257,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1102,82,Francia,1177,Paris,27/12/2017,"2173,92"
76,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1414,74,Estados Unidos,4446,Florida,2/11/2017,"5257,49"
101,2,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,1414,74,Estados Unidos,4446,Florida,9/11/2017,"8989,34"
