id_orden,id_provincia,provincia,origen_especifico,cp_origen_especifico,id_pais_destino,pais_destino,id_destino_especifico,destino_especifico,fecha,monto_operacion
37,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1129,47,Chile,656,Region Metropolitana de Santiago,30/10/2017,"1.872,00"
44,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1135,113,Italia,1877,Perugia,26/10/2017,"3.510,65"
106,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1086,74,Estados Unidos,4441,California,10/11/2017,"1.835,30"
133,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1086,74,Estados Unidos,4441,California,17/11/2017,"1.853,20"
135,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1086,74,Estados Unidos,4441,California,17/11/2017,"11.450,02"
518,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1086,74,Estados Unidos,4441,California,6/12/2017,"7.402,80"
520,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1086,74,Estados Unidos,4441,California,6/12/2017,"1.342,00"
119,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1086,113,Italia,1891,Roma,14/11/2017,"2.388,40"
918,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1086,74,Estados Unidos,4470,New Jersey,14/12/2017,"2.871,25"
54,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1057,74,Estados Unidos,4473,New York,27/10/2017,"1.761,41"
1096,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1414,16,Australia,132,New South Wales,19/12/2017,"7.260,72"
59,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1102,72,España,1005,Barcelona [Barcelona],30/10/2017,"4.571,88"
130,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1102,74,Estados Unidos,4441,California,16/11/2017,"15.000,00"
1463,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1102,74,Estados Unidos,4441,California,5/1/2018,"12.524,80"
959,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1102,74,Estados Unidos,4441,California,14/12/2017,"9.984,40"
449,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1102,82,Francia,1133,Haute-Garonne,6/12/2017,"7.343,14"
456,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1102,82,Francia,1133,Haute-Garonne,6/12/2017,"6.317,60"
1257,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1102,82,Francia,1177,Paris,27/12/2017,"2.173,92"
76,02,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,1414,74,Estados Unidos,4446,Florida,2/11/2017,"5.257,49"
